1L; 200041436; 'Capo Vado'; 'Bergeggi'; 'Bergeggi'; 'SV'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 8.44889; 44.2575; 126; 0; ''; False; 'Ligu-B'; '0101000020E6100000BD00FBE8D4E52040295C8FC2F5204640'; 2147484058L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 0.0; 0.0; 0.0; 0.0; 17.0; 9.4; 1; 1; 1; 1; 1; 1; 3; 2; 3; 3; 2; ''; 3; 1; 0.0; 0.23; -0.59; 17.6; 200041436; 0.425285; 2; '1'; '2'; '1'; 0.0; 0.0; 0.00245414536318842; 0.0057705882143651; 0.00436518711503248; 0.00185644917291771
2L; 2419; 'Loco Carchelli C.le'; 'Rovegno'; 'Rovegno'; 'GE'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 9.285; 44.5547; 664; 0; ''; False; 'Ligu-E'; '0101000020E610000052B81E85EB912240AC8BDB6800474640'; 2147484008L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 102.8; 10.2; 0.0; 35.8; 17.2; 7.7; 5; 5; 5; 5; 5; 5; 3; 2; 3; 3; 2; ''; 3; 1; 0.0; 0.23; -0.59; 17.6; 2419; 0.742435; 4; '5'; '3'; '2'; 0.717223540829603; 0.532492186103674; 0.00456123495109409; 0.00614361143234224; 0.00321744941338198; 0.00238874852020061
3L; 200041439; 'Montalto'; 'Montalto Ligure'; 'Montalto Ligure'; 'IM'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 7.84167; 43.9303; 240; 0; ''; False; 'Ligu-A'; '0101000020E6100000E71890BDDE5D1F4002BC051214F74540'; 2147484063L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 234.2; 68.8; 0.0; 33.6; 21.9; 29.8; 5; 5; 5; 5; 5; 5; 4; 5; 4; 5; 5; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 200041439; 0.639352; 4; '5'; '4'; '5'; 0.988344792401229; 0.631900125217881; 0.0129776086656673; 0.0202980683665963; 0.10353028538966; 0.0661922851261517
4L; 2436; 'Borghetto di Vara'; 'Brugnato'; 'Brugnato'; 'SP'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 9.7156; 44.2314; 129; 0; ''; False; 'Ligu-C'; '0101000020E610000003098A1F636E2340AF25E4839E1D4640'; 2147484027L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 50.6; 6.4; 1.4; 47.0; 27.9; 18.1; 5; 5; 5; 5; 5; 5; 5; 3; 5; 5; 4; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 2436; 0.358688; 2; '3'; '3'; '2'; 0.267117212292482; 0.0958118572158705; 0.0200402131845312; 0.0558708080101; 0.0448296767580939; 0.0160798869968628
5L; 2453; 'Mele'; 'Mele'; 'Mele'; 'GE'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 8.73; 44.45; 118; 0; ''; False; 'Ligu-B'; '0101000020E6100000F6285C8FC27521409A99999999394640'; 2147483895L; 2; 'Pioggia cumulata ogni 5`'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 0.0; 0.0; 0.0; 0.0; 26.0; 9.5; 1; 1; 1; 1; 1; 1; 4; 2; 4; 4; 3; ''; 4; 1; 0.0; 0.23; -0.59; 17.6; 2453; 0.96164; 5; '1'; '4'; '3'; 0.0; 0.0; 0.0407647123866539; 0.0423908375333329; 0.015845584379412; 0.0152377430457058
6L; 2420; 'Monte Maure'; 'Ventimiglia'; 'Ventimiglia'; 'IM'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 7.6196; 43.7926; 94; 0; ''; False; 'Ligu-A'; '0101000020E61000000A68226C787A1E40A167B3EA73E54540'; 2147484009L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 68.8; 42.0; 0.0; 30.2; 17.8; 28.1; 5; 5; 5; 5; 5; 5; 3; 5; 3; 5; 5; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 2420; 0.786867; 4; '5'; '3'; '5'; 0.601467237462402; 0.473274555030762; 0.00579382374209001; 0.00736315765015604; 0.0774755580478644; 0.0609629385892446
7L; 2417; 'Casoni'; ''; 'ZIGNAGO'; 'SP'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 9.76581; 44.3054; 1047; 0; ''; False; 'Tosc-A1'; '0101000020E610000047E6913F188823406519E25817274640'; 2147484001L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 104.8; 6.8; 0.0; 47.8; 41.0; 13.2; 5; 5; 5; 5; 5; 5; 5; 2; 5; 5; 3; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 2417; 0.82764; 5; '5'; '5'; '3'; 0.721225046182479; 0.596914437132556; 0.160494894339889; 0.193918810438544; 0.0646531628896443; 0.053509520418606
8L; 2561; 'Romito Magra'; 'Arcola'; 'Arcola'; 'SP'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 9.93028; 44.1139; 25; 0; ''; False; 'Ligu-C'; '0101000020E6100000EA3E00A94DDC2340D8817346940E4640'; 2147491364L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 0.0; 0.0; 0.0; 0.0; 29.5; 64.2; 1; 1; 1; 1; 1; 1; 5; 5; 5; 5; 5; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 2561; 0.371743; 2; '1'; '3'; '3'; 0.0; 0.0; 0.025559646990401; 0.0687561920123516; 0.516785269571151; 0.192111410965065
9L; 10002560; 'Vernazza'; 'Vernazza'; 'Vernazza'; 'SP'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 9.68333; 44.1472; 490; 0; ''; False; 'Ligu-C'; '0101000020E610000059C0046EDD5D234050FC1873D7124640'; 2157491361L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 0.0; 0.0; 0.0; 0.0; 19.4; 20.3; 1; 1; 1; 1; 1; 1; 3; 4; 3; 5; 4; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 10002560; 0.714305; 4; '1'; '3'; '4'; 0.0; 0.0; 0.00814858931313677; 0.0114077134840598; 0.0334888847012931; 0.0239212852222434
10L; 289200; 'Settepani'; 'Calizzano'; 'Calizzano'; 'SV'; 'LIGURIA'; 'Italy'; None; 'CAE'; 8.19583; 44.2433; 1274; 0; ''; False; 'Ligu-D'; '0101000020E6100000C0266BD443642040F38E5374241F4640'; 268440694L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; -1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 74.2; 22.2; 0.0; 16.0; 22.2; 16.3; 5; 5; 5; 5; 5; 5; 4; 2; 4; 5; 3; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 289200; 0.597763; 4; '5'; '4'; '3'; 0.556687042937132; 0.332766685647462; 0.012906439833276; 0.0215912473679657; 0.0245219551930386; 0.0146583073177519
11L; 2556; 'Cenesi'; 'Cisano sul Neva'; 'Cisano sul Neva'; 'SV'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 8.13444; 44.0761; 135; 0; ''; False; 'Ligu-A'; '0101000020E6100000698CD651D5442040E09C11A5BD094640'; 2147491349L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 146.6; 40.4; 0.0; 30.6; 22.3; 15.6; 5; 5; 5; 5; 5; 5; 4; 2; 4; 5; 3; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 2556; 0.34076; 2; '3'; '2'; '2'; 0.917797480885939; 0.312748690147017; 0.00750811356768559; 0.0220334343059537; 0.0226403253002703; 0.00771491775650438
12L; 2414; 'Nasceto 2'; 'Sesta Godano'; 'Sesta Godano'; 'SP'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 9.67944; 44.2994; 294; 0; ''; False; 'Ligu-C'; '0101000020E61000004030478FDF5B234011363CBD52264640'; 2147483997L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 109.6; 8.2; 0.2; 49.0; 32.3; 12.2; 5; 5; 5; 5; 5; 5; 5; 2; 5; 5; 3; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 2414; 0.819212; 5; '5'; '5'; '3'; 0.751340063824155; 0.615507034890991; 0.0773664702911899; 0.0944400720565721; 0.0360317669908676; 0.0295176673390101
13L; 2450; 'Sanda'; 'Celle Ligure'; 'Celle Ligure'; 'SV'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 8.52861; 44.3617; 173; 0; ''; False; 'Ligu-B'; '0101000020E610000058AD4CF8A50E21404A7B832F4C2E4640'; 2147483889L; 2; 'Pioggia cumulata ogni 5`'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 51.2; 24.6; 0.0; 18.0; 18.5; 7.7; 5; 5; 5; 5; 5; 5; 3; 2; 3; 3; 2; ''; 3; 1; 0.0; 0.23; -0.59; 17.6; 2450; 0.352082; 2; '3'; '2'; '1'; 0.346371813158969; 0.121951285598889; 0.00316370309395581; 0.00898569926154266; 0.00413935381485835; 0.00145739202814105
14L; 2554; 'Diano Castello'; 'Diano Castello'; 'Diano Castello'; 'IM'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 8.0736; 43.9145; 14; 0; ''; False; 'Ligu-A'; '0101000020E6100000A1F831E6AE252040931804560EF54540'; 2147491343L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 103.4; 79.2; 0.0; 48.4; 12.8; 12.2; 5; 5; 5; 5; 5; 5; 2; 2; 2; 3; 2; ''; 3; 1; 0.0; 0.23; -0.59; 17.6; 2554; 0.284319; 2; '3'; '1'; '1'; 0.865173698871681; 0.245985100388094; 0.000312877475974129; 0.00110044617643547; 0.00380346825646528; 0.00108139732184381
